citation	class	resolved_base	expansions	first_resolution
../batch-h-argument-census.md	path	tree	1	../batch-h-argument-census.md
../batch-h-design.md	path	tree	1	../batch-h-design.md
../batch-h-input-list.md	path	tree	1	../batch-h-input-list.md
../gate/	path	tree	1	../gate/
../gate/check-ledger-chronology.py	path	tree	1	../gate/check-ledger-chronology.py
A-H4/<case>/	wildcard	tree	15	A-H4/h4-c01-pane-live/
A-H4/fixture-validity.txt	path	tree	1	A-H4/fixture-validity.txt
A-H4/resolution-record.txt	path	tree	1	A-H4/resolution-record.txt
A-H5/<case>/	wildcard	tree	16	A-H5/h5-c01-no-slot-arg/
RUN-MANIFEST.md	path	tree	1	RUN-MANIFEST.md
SHA256SUMS.txt	context	harm-rel	6	A-H1/SHA256SUMS.txt
admissibility-ledger.txt	context	hcase-rel	123	A-H1/h1-c01-dash-h/admissibility-ledger.txt
env.controller-domain.txt	context	hcase-rel	15	A-H4/h4-c01-pane-live/env.controller-domain.txt
env.domain-diff.txt	context	hcase-rel	15	A-H4/h4-c01-pane-live/env.domain-diff.txt
env.helper-domain.txt	context	hcase-rel	15	A-H4/h4-c01-pane-live/env.helper-domain.txt
invocations.tsv	context	hcase-rel	123	A-H1/h1-c01-dash-h/invocations.tsv
meta.after.txt	context	hcase-rel	16	A-H5/h5-c01-no-slot-arg/meta.after.txt
meta.before.txt	context	hcase-rel	16	A-H5/h5-c01-no-slot-arg/meta.before.txt
meta.diff.txt	context	hcase-rel	16	A-H5/h5-c01-no-slot-arg/meta.diff.txt
out/	context	hcase-rel	123	A-H1/h1-c01-dash-h/out/
out/resolve.stderr	context	hcase-rel	15	A-H4/h4-c01-pane-live/out/resolve.stderr
out/resolve.stdout	context	hcase-rel	15	A-H4/h4-c01-pane-live/out/resolve.stdout
planted-inputs.txt	context	hcase-rel	16	A-H5/h5-c01-no-slot-arg/planted-inputs.txt
roster.txt	context	hcase-rel	15	A-H4/h4-c01-pane-live/roster.txt
sid-artifact.txt	context	hcase-rel	16	A-H5/h5-c01-no-slot-arg/sid-artifact.txt
surface-state.txt	context	hcase-rel	123	A-H1/h1-c01-dash-h/surface-state.txt
